PSS Quarter,PSS Year,Start Month,End Month,Show PSS?
4,2019,January,March,TRUE
3,2018,October,December,TRUE
2,2018,July,September,TRUE
1,2018,April,June,TRUE
4,2018,January,March,FALSE
3,2017,October,December,FALSE
